typhoon_name,year,region,province,city_municipality,families,person,brgy,dead,injured_ill,missing,totally,partially,total,cost,has_food,has_cash,has_hygiene_health,has_sleeping_essentials,has_shelter_support,aid_diversity
ODETTE,2021,10,LANAO DEL NORTE,SALVADOR,5.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,7,CEBU,SAMBOAN,5224.0,15672.0,15.0,0.0,10.0,0.0,97.0,2186.0,2283.0,0.0,1,0,0,0,0,1
ODETTE,2021,Caraga,SURIGAO DEL SUR,SAN AGUSTIN,3821.0,14909.0,13.0,0.0,0.0,0.0,12.0,84.0,96.0,0.0,0,0,0,0,0,0
ODETTE,2021,Caraga,SURIGAO DEL NORTE,SAN BENITO,1814.0,8215.0,6.0,0.0,0.0,0.0,635.0,961.0,1596.0,0.0,0,1,0,0,0,1
ODETTE,2021,6,NEGROS OCCIDENTAL,SAN CARLOS CITY,6056.0,24258.0,18.0,1.0,0.0,0.0,647.0,5409.0,6056.0,1694496.0,1,0,0,0,0,1
ODETTE,2021,6,ILOILO,SAN DIONISIO,3665.0,14289.0,29.0,0.0,0.0,0.0,5.0,84.0,89.0,828703.32,1,1,0,0,0,2
ODETTE,2021,6,ILOILO,SAN ENRIQUE,7864.0,27908.0,12.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0,0,0,0,0,0
ODETTE,2021,6,NEGROS OCCIDENTAL,SAN ENRIQUE,5342.0,17485.0,10.0,0.0,0.0,0.0,298.0,4545.0,4843.0,2433973.0,1,1,1,1,0,5
ODETTE,2021,10,BUKIDNON,SAN FERNANDO,3.0,15.0,1.0,1.0,2.0,0.0,2.0,15.0,17.0,0.0,0,0,0,0,0,0
ODETTE,2021,4B,ROMBLON,SAN FERNANDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7975.0,0,0,1,0,0,1
ODETTE,2021,7,CEBU,SAN FERNANDO,24872.0,49744.0,21.0,1.0,1.0,2.0,15290.0,9315.0,24605.0,2120000.0,1,0,0,0,0,1
ODETTE,2021,7,CEBU,SAN FRANCISCO,8398.0,25194.0,15.0,0.0,0.0,0.0,123.0,8275.0,8398.0,1590000.0,1,0,0,0,0,1
ODETTE,2021,8,SOUTHERN LEYTE,SAN FRANCISCO,4089.0,14518.0,22.0,0.0,0.0,0.0,1893.0,1704.0,3597.0,5820721.0,1,1,1,1,1,6
ODETTE,2021,Caraga,AGUSAN DEL SUR,SAN FRANCISCO,789.0,3304.0,15.0,0.0,0.0,0.0,4.0,198.0,202.0,0.0,0,0,0,0,0,0
ODETTE,2021,Caraga,SURIGAO DEL NORTE,SAN FRANCISCO,4545.0,16536.0,11.0,0.0,13.0,0.0,1316.0,3016.0,4332.0,0.0,0,1,0,0,0,1
ODETTE,2021,7,BOHOL,SAN ISIDRO,3087.0,10309.0,12.0,0.0,0.0,0.0,194.0,2338.0,2532.0,0.0,1,0,0,0,0,1
