city_municipality_,province_,region_,person_sum,dead_sum,injured_ill_sum,missing_sum,totally_sum,partially_sum,cost_sum,has_food_mean,has_cash_mean,has_hygiene_health_mean,has_sleeping_essentials_mean,has_shelter_support_mean,num_typhoons,recurrence_rate,cost_per_family
STA MARGARITA,SAMAR,8,292.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0
SUAL,PANGASINAN,1,44426.0,0.0,0.0,0.0,78.0,485.0,540453.65,0.125,0.0,0.0,0.0,0.0,14,2.8,34.24277070265476
SUBIC,ZAMBALES,3,37185.0,0.0,0.0,0.0,123.0,158.0,606322.0,0.16666666666666666,0.0,0.0,0.0,0.0,19,3.1666666666666665,64.48861944267178
SUDIPEN,LA UNION,1,29448.0,0.0,0.0,2.0,36.0,799.0,9377080.5,0.5,0.16666666666666666,0.0,0.0,0.0,13,2.6,1185.321767159651
SUGBONGCOGON,MISAMIS ORIENTAL,10,14528.0,0.0,0.0,0.0,1.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.25,0.0
SUGPON,ILOCOS SUR,1,8006.0,0.0,0.0,0.0,7.0,299.0,87276.8,0.125,0.0,0.0,0.0,0.0,15,3.0,46.27613997879109
SULAT,EASTERN SAMAR,8,21984.0,0.0,0.0,0.0,4.0,123.0,1223600.0,0.25,0.0,0.0,0.0,0.0,7,1.4,129.70108119567521
SULTAN DUMALONDONG,LANAO DEL SUR,BARMM,970.0,0.0,0.0,0.0,88.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0
SULTAN KUDARAT,MAGUINDANAO,BARMM,136315.0,0.0,0.0,0.0,107.0,71.0,0.0,0.5,0.0,0.0,0.0,0.0,4,1.0,0.0
SULTAN KUDARAT,MAGUINDANAO DEL NORTE,BARMM,45295.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0
SULTAN MASTURA,MAGUINDANAO,BARMM,22555.0,0.0,0.0,0.0,8.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0
SULTAN NAGA DIMAPORO,LANAO DEL NORTE,10,4761.0,0.0,0.0,0.0,6.0,163.0,184475.12,0.25,0.0,0.0,0.25,0.25,10,2.5,168.31671532846715
SULTAN SA BARONGIS,MAGUINDANAO,BARMM,64125.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2.3333333333333335,0.0
SULTAN SA BARONGIS,MAGUINDANAO DEL SUR,BARMM,22570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0
SULTAN SUMAGKA,MAGUINDANAO,BARMM,26190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0
SULTAN SUMAGKA,MAGUINDANAO DEL NORTE,BARMM,21405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0
SUMILAO,BUKIDNON,10,128.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0
SUMISIP,BASILAN,BARMM,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0
